iter	Passed	Remaining
0	28	8517
1	31	4720
2	34	3440
3	37	2787
4	40	2400
5	43	2140
6	46	1950
7	49	1807
8	52	1696
9	55	1609
10	58	1536
11	61	1474
12	64	1422
13	67	1377
14	70	1339
15	73	1307
16	76	1279
17	80	1254
18	83	1230
19	86	1208
20	89	1191
21	92	1172
22	95	1155
23	99	1144
24	102	1129
25	105	1116
26	109	1102
27	112	1090
28	115	1082
29	119	1071
30	122	1059
31	125	1047
32	128	1035
33	131	1028
34	134	1018
35	137	1008
36	140	998
37	143	988
38	146	981
39	149	973
40	152	964
41	155	956
42	158	948
43	161	941
44	164	934
45	167	926
46	170	919
47	173	912
48	176	905
49	180	900
50	182	893
51	185	886
52	188	880
53	191	874
54	195	869
55	198	863
56	201	857
57	204	851
58	207	845
59	210	840
60	213	835
61	216	830
62	219	825
63	222	819
64	225	815
65	228	811
66	232	807
67	235	802
68	238	797
69	241	792
70	244	789
71	247	784
72	250	780
73	253	775
74	256	770
75	260	766
76	263	762
77	266	757
78	269	752
79	271	747
80	275	744
81	278	739
82	281	735
83	284	730
84	287	726
85	290	722
86	293	718
87	296	714
88	299	709
89	302	705
90	305	701
91	308	697
92	311	693
93	314	689
94	317	685
95	320	681
96	323	677
97	326	672
98	329	668
99	332	664
100	335	660
101	338	656
102	341	652
103	344	648
104	347	644
105	350	640
106	353	636
107	355	632
108	358	629
109	362	625
110	365	621
111	367	617
112	370	613
113	373	610
114	376	606
115	379	602
116	382	599
117	385	595
118	388	591
119	391	587
120	394	584
121	397	580
122	400	576
123	403	572
124	406	569
125	409	565
126	412	562
127	415	558
128	418	554
129	421	551
130	424	547
131	427	544
132	430	540
133	433	536
134	436	533
135	439	529
136	442	526
137	445	522
138	448	519
139	451	515
140	454	512
141	457	508
142	460	505
143	462	501
144	466	498
145	469	494
146	472	491
147	475	487
148	477	484
149	480	480
150	483	477
151	486	474
152	489	470
153	492	467
154	495	463
155	498	460
156	501	457
157	504	453
158	507	450
159	510	446
160	513	443
161	516	440
162	519	436
163	522	433
164	525	430
165	528	426
166	531	423
167	534	420
168	537	416
169	540	413
170	543	410
171	546	406
172	549	403
173	552	400
174	555	396
175	558	393
176	561	390
177	564	386
178	567	383
179	570	380
180	573	377
181	576	373
182	579	370
183	582	367
184	585	363
185	588	360
186	591	357
187	594	353
188	597	350
189	600	347
190	603	344
191	605	340
192	608	337
193	611	334
194	614	331
195	617	327
196	620	324
197	623	321
198	626	318
199	629	314
200	632	311
201	635	308
202	638	305
203	641	301
204	644	298
205	647	295
206	651	292
207	654	289
208	657	286
209	660	282
210	663	279
211	666	276
212	669	273
213	672	270
214	675	266
215	678	263
216	681	260
217	684	257
218	687	254
219	690	250
220	693	247
221	696	244
222	699	241
223	702	238
224	705	235
225	708	232
226	712	228
227	715	225
228	718	222
229	721	219
230	724	216
231	728	213
232	731	210
233	734	207
234	737	203
235	740	200
236	743	197
237	746	194
238	749	191
239	752	188
240	755	184
241	758	181
242	761	178
243	764	175
244	767	172
245	770	169
246	774	166
247	777	162
248	780	159
249	783	156
250	786	153
251	790	150
252	793	147
253	796	144
254	799	141
255	803	138
256	806	134
257	809	131
258	813	128
259	816	125
260	819	122
261	823	119
262	826	116
263	829	113
264	832	110
265	836	106
266	840	103
267	843	100
268	846	97
269	849	94
270	853	91
271	856	88
272	859	85
273	863	81
274	866	78
275	869	75
276	872	72
277	876	69
278	879	66
279	882	63
280	885	59
281	889	56
282	892	53
283	895	50
284	898	47
285	902	44
286	905	41
287	908	37
288	912	34
289	915	31
290	919	28
291	923	25
292	926	22
293	929	18
294	932	15
295	936	12
296	939	9
297	942	6
298	945	3
299	948	0
